==22765== NVPROF is profiling process 22765, command: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 5 9 9
==22765== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 5 9 9
==22765== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
650.08ms  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03177s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03221s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03258s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.03293s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.34015s  272.90us                    -               -         -         -         -  2.8477MB  10.190GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.34060s  109.12us                    -               -         -         -         -  1.2656MB  11.327GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.40705s  25.920us                    -               -         -         -         -  2.5400MB  95.699GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.40708s  205.31us                    -               -         -         -         -  2.5400MB  12.082GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.40866s  20.864us                    -               -         -         -         -  2.5400MB  118.89GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.40869s  216.93us                    -               -         -         -         -  2.5400MB  11.435GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.40913s  206.69us                    -               -         -         -         -  2.5400MB  12.001GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.41016s  9.7600us                    -               -         -         -         -  1.2744MB  127.52GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.41017s  103.87us                    -               -         -         -         -  1.2744MB  11.982GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.41115s  10.145us                    -               -         -         -         -  1.2744MB  122.68GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.41116s  103.74us                    -               -         -         -         -  1.2744MB  11.996GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.41138s  103.49us                    -               -         -         -         -  1.2744MB  12.026GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.58591s  1.3605ms           (2592 1 1)        (32 1 1)        56        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [10051]
7.59413s  23.776us                    -               -         -         -         -  2.5400MB  104.33GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.59415s  205.35us                    -               -         -         -         -  2.5400MB  12.080GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.59500s  203.87us                    -               -         -         -         -  2.5400MB  12.167GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.59863s  26.688us                    -               -         -         -         -  2.5400MB  92.945GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.59867s  462.37us                    -               -         -         -         -  2.5400MB  5.3648GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.59970s  203.91us                    -               -         -         -         -  2.5400MB  12.165GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.60150s  23.360us                    -               -         -         -         -  2.5400MB  106.19GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.60152s  235.23us                    -               -         -         -         -  2.5400MB  10.545GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.61966s  24.960us                    -               -         -         -         -  2.5400MB  99.380GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.61969s  216.00us                    -               -         -         -         -  2.5400MB  11.484GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.62046s  204.23us                    -               -         -         -         -  2.5400MB  12.146GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.62160s  20.992us                    -               -         -         -         -  2.5400MB  118.16GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
7.62162s  216.03us                    -               -         -         -         -  2.5400MB  11.482GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
7.62239s  217.03us                    -               -         -         -         -  2.5400MB  11.430GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
7.63529s  3.6800us                    -               -         -         -         -  40.500KB  10.496GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
