==21731== NVPROF is profiling process 21731, command: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 4 7 7
==21731== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 4 7 7
==21731== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.26899s  1.5040us                    -               -         -         -         -      112B  71.018MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.64907s  1.5040us                    -               -         -         -         -      112B  71.018MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.64946s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.64978s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
2.65008s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.10737s  36.896us                    -               -         -         -         -  441.00KB  11.399GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.10749s  17.665us                    -               -         -         -         -  196.00KB  10.581GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
4.17107s  5.1200us                    -               -         -         -         -  395.51KB  73.669GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.17108s  32.672us                    -               -         -         -         -  395.51KB  11.545GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.17152s  2.6560us                    -               -         -         -         -  395.51KB  142.01GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.17153s  32.544us                    -               -         -         -         -  395.51KB  11.590GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
